code,city_id,state,lat,lon
623,Urb El Retiro, PR,18.08,-67.14
623,Urb Elizabeth, PR,18.08,-67.14
623,Urb Kofresi, PR,18.08,-67.14
623,Urb La Concepcion, PR,18.08,-67.14
623,Urb Monte Grande, PR,18.08,-67.14
623,Urb Montesol, PR,18.08,-67.14
623,Urb Ramirez, PR,18.08,-67.14
623,Urb Remanso De Cabo Rojo, PR,18.08,-67.14
623,Urb San Miguel, PR,18.08,-67.14
623,Urb Sierra Linda, PR,18.08,-67.14
623,Villa Aida, PR,18.08,-67.14
623,Villa Del Carmen, PR,18.08,-67.14
623,Villa Luisa, PR,18.08,-67.14
623,Villas De Plan Bonito, PR,18.08,-67.14
725,Caguas, PR,18.23,-66.03
725,Alt De Caguas, PR,18.23,-66.03
725,Alt Del Turabo, PR,18.23,-66.03
725,Bda Morales, PR,18.23,-66.03
725,Bosques De La Sierra, PR,18.23,-66.03
725,Brisas Del Parque I, PR,18.23,-66.03
725,Brisas Del Parque Ii, PR,18.23,-66.03
725,Est El Verde, PR,18.23,-66.03
725,Ext Caguax, PR,18.23,-66.03
725,Ext El Verde, PR,18.23,-66.03
725,Ext La Granja, PR,18.23,-66.03
725,Ext Villa Blanca, PR,18.23,-66.03
725,Hacienda Borinquen, PR,18.23,-66.03
725,Jard Pla, PR,18.23,-66.03
725,Lomas De La Serrania, PR,18.23,-66.03
725,Parq Las Mercedes, PR,18.23,-66.03
725,Paseo Del Rio, PR,18.23,-66.03
725,Qtas De San Luis 1, PR,18.23,-66.03
725,Qtas De San Luis 2, PR,18.23,-66.03
725,Qtas De Villa Blanca, PR,18.23,-66.03
725,Repto Caguax, PR,18.23,-66.03
725,Repto Solano, PR,18.23,-66.03
725,Res Bairoa, PR,18.23,-66.03
725,Terr De Borinquen, PR,18.23,-66.03
725,Urb Balcones Las Catalinas, PR,18.23,-66.03
725,Urb Batista, PR,18.23,-66.03
725,Urb Billy Suarez, PR,18.23,-66.03
725,Urb Bonneville Gdns, PR,18.23,-66.03
725,Urb Bonneville Terr, PR,18.23,-66.03
725,Urb Borinquen Valley, PR,18.23,-66.03
725,Urb Brooklyn, PR,18.23,-66.03
725,Urb Bunker, PR,18.23,-66.03
725,Urb Caguas Milenio, PR,18.23,-66.03
725,Urb Caguas Norte, PR,18.23,-66.03
725,Urb Caribe Gdns, PR,18.23,-66.03
725,Urb Condado Moderno, PR,18.23,-66.03
725,Urb Condado Viejo, PR,18.23,-66.03
725,Urb El Retiro, PR,18.23,-66.03
725,Urb El Rincon De La Serrania, PR,18.23,-66.03
725,Urb El Verde, PR,18.23,-66.03
725,Urb Grillo, PR,18.23,-66.03
725,Urb Jose Delgado, PR,18.23,-66.03
725,Urb Jose Mercado, PR,18.23,-66.03
725,Urb La Granja, PR,18.23,-66.03
725,Urb La Meseta, PR,18.23,-66.03
725,Urb Machin, PR,18.23,-66.03
725,Urb Mariolga, PR,18.23,-66.03
725,Urb Monticielo, PR,18.23,-66.03
725,Urb Myrlena, PR,18.23,-66.03
725,Urb Nazario, PR,18.23,-66.03
725,Urb Notre Dame, PR,18.23,-66.03
725,Urb Paradise, PR,18.23,-66.03
725,Urb San Alfonso, PR,18.23,-66.03
725,Urb San Antonio, PR,18.23,-66.03
725,Urb San Marcos, PR,18.23,-66.03
725,Urb San Pedro Est, PR,18.23,-66.03
725,Urb San Rafael, PR,18.23,-66.03
725,Urb Santa Cecilia, PR,18.23,-66.03
725,Urb Santa Elvira, PR,18.23,-66.03
725,Urb Santa Juana, PR,18.23,-66.03
725,Urb Santa Juana 2, PR,18.23,-66.03
725,Urb Santa Juana 3, PR,18.23,-66.03
